处理日期,图号,版本,文件名,处理方式(O/N),状态,文件ID,批次号
2026-06-11T18:27:38,YA116A216,N/A,YA116A216-1_Fh-脱敏.tif,N,failed,,
2026-06-11T18:34:03,YA116A216,N/A,YA116A216-1_Fh-脱敏.tif,N,failed,,
2026-06-11T19:09:38,YA116A216,N/A,YA116A216-1_Fh-脱敏_20260611_183403.tif,O,success,,
2026-06-11T19:22:35,1,N/A,1.pdf,O,success,,
2026-06-11T19:25:00,B507795,N/A,B507795_C-脱敏.tif,O,success,,
2026-06-12T12:04:03,B507795,N/A,B507795_C-脱敏.tif,O,success,,
2026-06-12T12:13:12,P101081A110-1_h-脱敏,N/A,P101081A110-1_h-脱敏.tif,O,success,,
2026-06-12T12:15:25,P101081A110-2_h-脱敏,N/A,P101081A110-2_h-脱敏.tif,O,success,,
2026-06-12T12:17:16,YA026D941,N/A,YA026D941_0d.tif,O,success,,
2026-06-12T12:19:49,YA036C079,N/A,YA036C079$1_B.tif,O,success,,
2026-06-12T12:22:23,YA050C055,N/A,YA050C055_CD.tif,O,success,,
2026-06-12T12:24:49,YA057C857,N/A,YA057C857_0-脱敏.tif,O,success,,
2026-06-12T12:34:22,YA070A191P7933,N/A,YA070A191P7933-1_0-脱敏.tif,O,success,,
